title,title_furigana,title_en
やぁ!,Ya! (Yoshihiro Yamada's version),
YAIBA(ヤイバ),やいば,YAIBA
やえかのカルテ,YAEKA NO KARTE,
八重の桜,やえのさくら,Yae no sakura
夜王〜YAOH〜,やおう,YAOH
ヤオツクモ,Yaotsukumo,
ヤオヨロズガール,Yaoyorozu Girl,
やおよろっ!,Yaoyoro!,
やがて君になる,やがてきみになる,Bloom Into You (Yagate Kimi Ni Naru)
八神くんの家庭の事情,やがみくんのかていじじょう,Yagami Kun no Katei no Jijou
焼きたて!!ジャぱん,やきたて じゃぱん,Yakitate japan
野球狂の詩,やきゅうきょうのうた,YAKYUKYONOUTA
野球狂の詩VSドカベン,やきゅうきょうのうたたいどかべん,Yakyu Kyo no Uta vs Dokaben
野球狂の詩平成編,やきゅうきょうのうたへいせいへん,Yakyukyo no Uta Heiseihen
野球しようぜ!,やきゅうしようぜ,Let's play baseball!
柳生兵庫助,やぎゅうひょうごのすけ,YAGUH HYOUGONOSUKE
柳生烈風剣 連也,やぎゅうれっぷうけんれんや,Yagyu reppuken Renya
柳生連也武芸帖,やぎゅうれんやぶげいちょう,Yagyu renya Bugeicho
ヤキュガミ,Yakyugami,
薬師寺涼子の怪奇事件簿,やくしじりょうこのかいきじけんぼ,The Strange Case Files Of Ryoko Yakushiji (Yakushiji Ryoko no Kaiki Jikenbo)
約束のネバーランド,やくそくのねばーらんど,Yakusoku no neverland
八雲さんは餌づけがしたい。,やくもさんはえづけがしたい,YAKUMO SAN WA EDUKE GA SITAI
八雲立つ,やくもたつ,Yakumo Tatsu
焼けあとの元気くん,やけあとのげんきくん,Yakeato no Genki kun
やけくそ天使,やけくそてんし,Yakekuso Tenshi
やけっぱちのマリア,Yakeppachi no Maria,
野菜畑でつかまえて,やさいばたけでつかまえて,Yasai batake de tsukamaete
やさしい悪魔,やさしいあくま,Yasashii akuma
やさしい教師の躾けかた。,やさしいきょうしのしつけかた,The easy way to discipline disregarding teachers (Yasashii kyoushi no shitukekata)
やさしい子供のつくりかた,やさしいこどものつくりかた,Yasashii kodomo no tsukurikata
やさしい新説死霊術,やさしいしんせつしりょうじゅつ,Yasashii shinsetsu shiryoujutsu
やさしいセカイのつくりかた,Yasashii Sekai no Tsukurikata,
ヤサシイワタシ,Yasasii watasi,
やさしくしないで!,Yasashiku Shinai de!,
やじきた学園道中記,やじきたがくえんどうちゅうき,Yajikita Gakuen Douchuki
屋敷はメイドのために!,やしきはめいどのために,A residence for maids! (Yashiki wa maid no tame ni)
ヤジとボク,Yaji to boku,
YASHA-夜叉-,やしゃ,YASHA
夜叉鴉,やしゃがらす,Yasha Garasu
夜叉の瞳,やしゃのひとみ,The Pupil Of A Demon
YAKSAーヤシャー,やしゃ はやとこうじ,YAKSA
野獣女子高生,やじゅうじょしこうせい,Yaju Joshi Kosei
野獣は眠らず,やじゅうはねむらず,Beast does not sleep.
ヤスコとケンジ,Yasuko to Kenji,
やす子の太陽,やすこのたいよう,YASUKO's SUN
ヤスジのメッタメタガキ道講座,やすじのめっためたがきどうこうざ,Yasuji no mettameta gakidou kouza
野性伝説,やせいでんせつ,Yasei Densetu
野性のじかん,やせいのじかん,Yasei no Jikan
YATAGARASU,やたがらす,YATAGARASU
ヤダモン,Yadamon comic,
やったね!ラモズくん,Yatta ne! Rmozu kun,
ヤッターマン外伝 ボケボケボヤッキー,やったーまんがいでんぼけぼけぼやっきー,Yatterman-Gaiden BOKE-BOKE BOYACKY
やったろうじゃん!!,Yattaroujan,
奴の名はMARIA,やつのなはまりあ,Her name is Maria
やっぱ!アホーガンよ!,YAPPA AHOHGAN YO,
八つ墓村(影丸譲也版),やつはかむら かげまるじょうやばん,Yatsuhakamura Kagemaru Jouya
やっぱり愛しているのに!,やっぱりあいしているのに,Yappari aishiteiru noni!
やっぱり!テツヤくん,Yappari Tetsuya kun,
夜刀の神つかい,やとのかみつかい,Legend of Zipangu
ヤナガオート,Yanaga Auto,
ヤニーズ,YANIES,
ヤヌスの鏡,やぬすのかがみ,The Mirror of Janus
やねうらの彼女,やねうらのかのじょ,Yaneura no kanojo
やはり俺の青春ラブコメはまちがっている。@comic,やはりおれのせいしゅんらぶこめはまちがっている あっとこみっく,Yahari Ore no Seisyun Lovecomedy wa Matigatteiru @comic
やはり俺の青春ラブコメはまちがっている。-妄言録-,やはりおれのせいしゅんらぶこめはまちがっている ものろーぐ,Yahari Ore no Seisyun Lovecomedy wa Matigatteiru Monologue
やはり4コマでも俺の青春ラブコメはまちがっている。,やはりよんこまでもおれのせいしゅんらぶこめはまちがっている,Yahari yonkoma demo ore no seishun Lovecomedy wa machigatteiru
やぶれかぶれ,Yaburekabure,
野望の王国,やぼうのおうこく,Yabou no oukoku
やまいだれ,YAMAIDARE,
山おんな壁おんな,やまおんなかべおんな,Yama Onna Kane Onna
山靴よ疾走れ!!,やまぐつよはしれ,Yamagutsu Yo Hashire!!
山下たろーくん 〜うみとそらの物語〜,やましたたろーくんうみとそらのものがたり,Yamasitatarokun: Umitosoranomonogatari
ヤマタイカ(ヤマトの火),Yamataika,
山田くんと7人の魔女,やまだくんと7にんのまじょ,Yamadakun to Nananin no Majo
山田太郎ものがたり,やまだたろうものがたり,Yamada tarou monogatari
ヤマチャン,YAMACHAN,
大和帰還セズ,やまときかんせず,NORETURANOFYAMATO
邪馬台幻想記,やまとげんそうき,Yamato Gensouki [Yabuki Kentaro]
大和出撃せよ!,やまとしゅつげきせよ,TAKEOFYAMATO
山と食欲と私,やまとしょくよくとわたし,Enjoy your mountain life!
ヤマトタケル,Yamato Takeru,
ヤマトタケルの冒険,やまとたけるのぼうけん,YAMATO TAKERU's Adventure
ヤマトナデシコ七変化,やまとなでしこしちへんげ,Yamato Nadeshiko Shichihenge
やまとの羽根,やまとのはね,Yamato No Hane
ヤマトよ永遠に,やまとよとわに,BE FOREVER YAMATO
山中寮E館215号,やまなかりょういーかん215ごう,Yamanakaryou E-kan 215gou
"山猫先生の“物語""",やまねこせんせいのものがたり,Yamanekosensei no monogatari
山の彼方の空紅く,やまのあなたのそらあかく,Yma no anata no sora akaku
ヤマノススメ,Encouragement of Climb. (Yama no Susume),
山風短,やまふうたん,Yamafuutan
山吹の標,やまぶきのしるし,Mark Of Yamabuki
山本アットホーム,やまもとあっとほーむ,Yamamoto At Home
山本さんちのガン・ガール,やまもとさんちのがんがーる,Yamamoto san Chi no Gun Girl
ヤミアバキクラウミコ,Yami Abaki Kurau Miko,
闇鍵師,やみかぎし,Yamikagishi
闇神コウ -暗闇にドッキリ!-,やみがみこうくらやみにどっきり,Yami Gami Kou Kurayami ni Dokkiri
闇狩人,やみかりうど,Yami kariudo
闇狩り師 キマイラ天龍変,やみがりし きまいらてんりゅうへん,Dark hunter Kimaera Tenryu transformation
闇金ウシジマくん,やみきんうしじまくん,Yamikin Usijima kun
闇金ウシジマくん外伝 肉蝮伝説,やみきんうしじまくんがいでん にくまむしでんせつ,Yamikin Ushijima-kun Nikumamushi densetsu
闇のイージス,やみのいーじす,Yami no Aegis
闇の顔 (現代劇傑作選),やみのかおげんだいげきけっさくせん,Yami no Kao
闇の馨師 薫,やみのかぐわしかおる,YAMINO KAGUWASHI KAORU
闇の土鬼,やみのどき,Yami no Doki
闇のパープル・アイ,やみのぱーぷるあい,Yami no Purple eya
闇の末裔,やみのまつえい,Yami no matsuei
闇は集う,やみはつどう,Darkness gathers.
ヤミホタル,YAMIHOTARU,
闇世のトランフ,やみよのとらんふ,Yamiyo no Trumpf
ヤメゴク〜ヤクザやめて頂きます〜,やめごく やくざやめていただきます,Yamegoku
病めるときも 健やかなるときも,やめるときもすこやかなるときも,In sickness and in health (Yameru toki mo sukoyaka naru toki mo)
弥生!!,やよい,YAYOI!!
やりすぎ!! イタズラくん,Yarisugi Itazura kun,
やりすぎコンパニオンとアタシ物語,やりすぎこんぱにおんとあたしものがたり,Yarisugi companion to atashi monogatari
やるっきゃ騎士,やるっきゃないと,Yarukkyanaito
YAWARA!(ヤワラ),やわら,YAWARA!
やわらかな鋭角,やわらかなえいかく,Yawaraka na Eikaku
やわらか忍法SOS,やわらかにんぽうえすおーえす,Yawaraka Ninpou SOS
ヤワラーマン,Yawaraaman,
ヤンキー君とメガネちゃん,やんきーくんとめがねちゃん,Yankee-kun To Megane-chan
ヤンキー塾へ行く,やんきーじゅくへいく,YANKEE GO TO JUKU
ヤンキーフィギュア,Yankee Figure,
ヤンキー烈風隊,やんきーれっぷうたい,Yankee Reppuu-tai
ヤング島耕作,やんぐしまこうさく,Young Sima Kosaku
ヤング ブラック・ジャック,Young Black Jack,
ヤング松島喜久治,やんぐまつしまきくじ,Young Matsushima Kikuji
ヤングマン,YoungMan,
やんちゃ★ゴール!,やんちゃごーる,"Yancha,Goal!"
ヤンデレ彼女,やんでれかのじょ,Yandere Kanojo
山原バンバン,やんばらばんばん,Yambara ban ban
